ref_des,part_description,manufacturer,mfg_part_number,lcsc_part_number,jlcpcb_part_number,qty_per_unit,unit_price_usd_qty1k,source_notes
CEILING UNIT (per tile — 8 tiles per classroom kit),,,,,,,,,
U1,SoC ESP32-S3 dual-core 240MHz Xtensa LX7 WiFi/BLE,Espressif Systems,ESP32-S3-WROOM-1-N8R8,C2913202,C2913202,1,3.80,training-data reference (verify)
U2,AI MCU Alif Ensemble E7 Cortex-M55 + Ethos-U55 NPU,Alif Semiconductor,AE722F80F55D5LS,N/A — direct from distributor,N/A,1,12.50,best-guess (verify) — not stocked on LCSC at time of training; check Mouser/Arrow
U3,Monochrome camera HM01B0 QVGA 320x320 2mW,Himax,HM01B0-MCA,C2678669,C2678669,1,2.20,training-data reference (verify)
U4,PoE PD controller IEEE 802.3af Class 1,Silvertel,AG9900M,C399066,C399066,1,3.50,training-data reference (verify)
U5,5V/3.3V LDO regulator 1A,Diodes Inc,AP2114H-3.3TRG1,C31568,C31568,2,0.08,training-data reference (verify)
U6,1.8V LDO for camera and NPU rail,Torex,XC6220A181MR-G,C86534,C86534,1,0.12,training-data reference (verify)
U7,I2C GPIO expander for LED drive control,NXP,PCA9555PW,C128392,C128392,1,0.55,training-data reference (verify)
U8,Dual MOSFET N-channel SOT-363 for NIR LED switching,Vishay,SI1539EDL-T1-GE3,C458026,C458026,2,0.18,training-data reference (verify)
LED1-LED4,850nm NIR LED 200mW 25-degree half-angle,Osram,SFH4715S,C460441,C460441,4,0.45,training-data reference (verify)
C1-C4,100nF 0402 X7R 16V bypass,YAGEO,CC0402KRX7R7BB104,C14858,C14858,20,0.002,training-data reference (verify)
C5-C8,10uF 0805 X5R 10V bulk decoupling,Samsung,CL21A106KAYNNNE,C15850,C15850,8,0.012,training-data reference (verify)
C9-C10,100uF 6.3V electrolytic PoE input bulk,Panasonic,EEE-FC0J101P,C176112,C176112,2,0.18,training-data reference (verify)
R1-R8,10k 0402 1% resistor array pull-up,YAGEO,RC0402FR-0710KL,C98220,C98220,10,0.001,training-data reference (verify)
R9-R12,1R 0402 5% current-sense NIR LED,YAGEO,RC0402JR-071RL,C135418,C135418,4,0.002,training-data reference (verify)
L1,4.7uH 1210 power inductor PoE buck,TDK,CLF12577T-4R7N-D,C408336,C408336,1,0.35,training-data reference (verify)
L2,10uH 0805 inductor 3.3V rail filter,Wurth,744043100,C408240,C408240,1,0.22,training-data reference (verify)
