ref_des,part_description,manufacturer,mfg_part_number,lcsc_part_number,jlcpcb_part_number,qty_per_unit,unit_price_usd_qty1k,source_notes
U1,Rockchip RV1126 Quad-Core ARM A7 SoC with 2TOPS NPU,Rockchip,RV1126,C2687341,C2687341,1,18.50,training-data reference (verify)
U2,Google Coral Edge TPU M.2 Accelerator Module (2280),Google/Coral,G313-04371-01,N/A,N/A,1,24.99,no LCSC/JLCPCB listing — source direct from Coral distributor; training-data reference (verify)
U3,Sony IMX415 8.3MP CMOS Image Sensor (left channel),Sony Semiconductor,IMX415AAQR,C2678902,C2678902,1,22.00,training-data reference (verify)
U4,Sony IMX415 8.3MP CMOS Image Sensor (right channel),Sony Semiconductor,IMX415AAQR,C2678902,C2678902,1,22.00,training-data reference (verify)
U5,TI DP83822HF 100BASE-TX Ethernet PHY 3.3V LQFP-48,Texas Instruments,DP83822HF,C113578,C113578,1,1.85,training-data reference (verify)
U6,TI BQ77915 Battery Management System IC TQFP-48,Texas Instruments,BQ77915PFBR,C496381,C496381,1,3.20,training-data reference (verify)
U7,TI TPS65988 USB-C PD Controller (tether PoE/charge input),Texas Instruments,TPS65988DHRSHR,C387681,C387681,1,4.10,training-data reference (verify)
U8,TI TPS54360 3.6A Step-Down Converter (12V to 5V rail),Texas Instruments,TPS54360BDDAR,C9865,C9865,1,0.85,training-data reference (verify)
U9,TI TPS54202 2A Step-Down Converter (5V to 3.3V rail),Texas Instruments,TPS54202DDCR,C116592,C116592,1,0.62,training-data reference (verify)
U10,TI TPS7A8001 LDO 1.8V 1A (sensor I/O rail),Texas Instruments,TPS7A8001DRBR,C186536,C186536,1,0.95,training-data reference (verify)
U11,Winbond W25Q128JVSIQ 128Mb SPI NOR Flash (boot),Winbond,W25Q128JVSIQ,C97521,C97521,1,0.55,training-data reference (verify)
U12,Samsung KLMBG2JETD-B041 32GB eMMC 5.1 (rootfs / OTA),Samsung Semiconductor,KLMBG2JETD-B041,C388048,C388048,1,6.80,training-data reference (verify)
U13,Micron MT53E512M32D2NP-053 4GB LPDDR4 (system RAM),Micron Technology,MT53E512M32D2NP-053,C2935284,C2935284,1,9.40,training-data reference (verify)
U14,STM32G031K8T6 Cortex-M0+ MCU (housekeeping / BMS bridge),STMicroelectronics,STM32G031K8T6,C584611,C584611,1,0.98,training-data reference (verify)
U15,Molex 2146710100 Ethernet MagJack RJ45 + magnetics (internal tether connector footprint),Molex,2146710100,C431543,C431543,1,1.20,training-data reference (verify)
J1,SubConn MCBH8M 8-pin Ethernet bulkhead wet-mate connector (topside-facing),SubConn (MacArtney),MCBH8M,N/A,N/A,1,185.00,no LCSC/JLCPCB listing — source direct from MacArtney/SubConn; training-data reference (verify)
J2,SubConn MCBH4F 4-pin power bulkhead wet-mate connector (PoE tether in),SubConn (MacArtney),MCBH4F,N/A,N/A,1,120.00,no LCSC/JLCPCB listing — source direct; training-data reference (verify)
J3,Hirose DF40C-60DP-0.4V M.2 2280 Key-E edge connector (Coral TPU),Hirose,DF40C-60DP-0.4V(51),C393941,C393941,1,1.45,training-data reference (verify)
C1-C10,100nF 25V X5R MLCC 0402 (bulk decoupling, 10 pcs),Murata / YAGEO,GRM155R61E104KA87D,C14663,C14663,10,0.004,training-data reference (verify)
C11-C20,10uF 10V X5R MLCC 0603 (rail bulk cap, 10 pcs),Murata,GRM188R61A106KE69D,C19702,C19702,10,0.018,training-data reference (verify)
C21-C24,100uF 16V electrolytic radial (PoE input bulk, 4 pcs),Panasonic,EEE-FK1C101P,C176082,C176082,4,0.12,training-data reference (verify)
L1-L3,4.7uH 3A shielded power inductor 4×4 mm (DCDC converters),TDK,CLF10040NIT-4R7N-D,C339724,C339724,3,0.28,training-data reference (verify)
R1-R20,Various 0402 resistors 1% (termination, pullup/down — 20 pcs),YAGEO,RC0402FR-07100RL (representative),C105872,C105872,20,0.003,training-data reference (verify); actual values vary per net
D1,PRTR5V0U2X ESD TVS diode array USB/Ethernet lines,Nexperia,PRTR5V0U2X,C12333,C12333,1,0.09,training-data reference (verify)
D2-D3,B340A-13-F Schottky diode 3A 40V (PoE reverse polarity),Diodes Inc.,B340A-13-F,C8598,C8598,2,0.08,training-data reference (verify)
LED1,APTD3216QBC/D Blue 0603 LED (depth-rated status, internal diffuser),Broadcom,APTD3216QBC/D,C72044,C72044,1,0.06,training-data reference (verify)
BT1-BT6,Sony US18650VTC6 18650 Li-ion 3000mAh 3.6V (3S2P = 6 cells),Sony / Murata,US18650VTC6,N/A,N/A,6,4.50,no LCSC/JLCPCB listing — source from authorized Li-ion distributor; training-data reference (verify)
MEC1,6061-T6 Aluminum Housing Billet — GoPro-form-factor custom machined + MIL-A-8625 Type III hardcoat,Custom / CNC job shop,SUBSONIC-HSG-001,N/A,N/A,1,185.00,mechanical line item — quotes from CNC shops at 1k volume; best-guess (verify)
MEC2,Synthetic Sapphire Flat Window 25mm dia x 3mm thick AR-coated 400-700nm (qty 2),Photon Dynamics / Meller Optics,Custom 25-3-AR,N/A,N/A,2,38.00,mechanical line item — sapphire window pricing at volume; best-guess (verify)
