ref_des,part_description,manufacturer,mfg_part_number,lcsc_part_number,jlcpcb_part_number,qty_per_unit,unit_price_usd_qty1k,source_notes
U1,ESP32-S3-WROOM-1U Module 16MB Flash 8MB PSRAM U.FL,Espressif,ESP32-S3-WROOM-1U-N16R8,C2913202,C2913202,1,4.20,training-data reference (verify)
U2,u-blox MAX-F10S Dual-Band L1/L5 GNSS LCC,u-blox,MAX-F10S-00B-00,C5173946,C5173946,1,8.50,training-data reference (verify)
U3,ST LSM6DSV 6-Axis IMU with MLC LGA-14,STMicroelectronics,LSM6DSV,C5164707,C5164707,1,2.10,training-data reference (verify)
U4,Bosch BMM150 3-Axis Magnetometer LGA-12,Bosch Sensortec,BMM150,C94761,C94761,1,0.95,training-data reference (verify)
U5,Semtech SX1262 LoRa Transceiver QFN-24,Semtech,SX1262IMLTRT,C5127722,C5127722,1,3.80,training-data reference (verify)
U6-U13,TI DRV2605L Haptic Driver I2C LRA/ERM SOT-23-8 (8 total),Texas Instruments,DRV2605LYZFT,C255651,C255651,8,0.85,training-data reference (verify)
U14,TI BQ25895 USB Li-Ion Charger PMIC QFN-24,Texas Instruments,BQ25895RTWR,C93432,C93432,1,1.90,training-data reference (verify)
U15,TCA9548A I2C 8-Channel Mux TSSOP-24,Texas Instruments,TCA9548APWR,C130026,C130026,1,0.75,training-data reference (verify)
U16,3.3V LDO 600mA SOT-23-5,Torex / similar,XC6210B332MR-G,C177201,C177201,1,0.12,best-guess (verify)
U17,5V Boost Converter 1A SOT-23-6,Diodes Inc,PAM2401SCADJ,C88312,C88312,1,0.22,best-guess (verify)
Y1,26 MHz TCXO ±0.5ppm SMD 3225,TXC Corp,7M-26.000MAAJ-T,C388670,C388670,1,0.65,training-data reference (verify)
Y2,32.768 kHz Crystal 7pF SMD 3215,Epson,FC-135R 32.7680KA-A0,C32346,C32346,1,0.08,best-guess (verify)
ANT1,868/915 MHz PCB Trace Antenna or U.FL Pigtail,Molex,2137760100,C393506,C393506,1,0.45,best-guess (verify)
ANT2,GNSS Patch Antenna 25x25mm Active 1575/1176 MHz,Taoglas,FXP.73.07.0100A,C388402,C388402,1,3.20,training-data reference (verify)
LRA1-LRA8,8mm LRA Actuator 170Hz Vybronics VG0832 class (8 total),Vybronics / AAC,VG0832001,N/A,N/A,8,1.40,best-guess (verify); no standard LCSC/JLCPCB listing — source direct from Vybronics or Digikey
BAT1,18650 Li-Ion 3000mAh Cell Samsung 30Q equiv,Samsung SDI / MOLICEL,INR18650-30Q,N/A,N/A,1,3.50,best-guess (verify); cell sourced direct from cell distributor not JLCPCB
BH1,18650 Spring-Release Cell Holder THT,Keystone Electronics,1042P,C376783,C376783,1,0.35,best-guess (verify)
C1-C20,100nF 0402 X5R 10V Decoupling Cap (20 total),Yageo / Murata,CL05B104KO5NNNC,C307331,C307331,20,0.004,best-guess (verify)
C21-C30,10uF 0402 X5R 6.3V Bulk Cap (10 total),Murata,GRM155R60J106ME11D,C15523,C15523,10,0.018,training-data reference (verify)
C31-C34,22uF 0805 X5R 10V PMIC bulk (4 total),TDK,C2012X5R1A226M125AC,C20852,C20852,4,0.065,best-guess (verify)
C35,0.1F 5.5V Supercapacitor SMD,Murata,JUWT1105MCD,C143546,C143546,1,0.85,best-guess (verify)
