Designator,Qty,Value,LCSC_Part_No,Manufacturer_PN,Package,JLCPCB_Lib,Unit_Cost_100qty,Notes
U1,1,ESP32-C3-MINI-1-N4,C2902509,ESP32-C3-MINI-1-N4,SMD-Module,Extended,1.45,Main MCU
U2,1,MPU6050,C419260,MPU-6050,QFN-24,Basic,1.45,6-axis IMU
U3,1,AP2112K-3.3,C51118,AP2112K-3.3TRG1,SOT-23-5,Basic,0.12,3.3V 600mA LDO (handles LED burst current)
U4,1,TP4056,C16581,TP4056,SOP-8,Extended,0.18,LiPo charger
J1,1,USB-C 6P,C2765186,TYPE-C-31-M-12,SMD,Basic,0.10,USB-C power
J2,1,2-pin JST,C589984,SH-2P,SMD,Basic,0.05,Battery connector
LED1-LED9,9,WS2812B-2020,C114586,WS2812B-2020,SMD,Basic,0.36,RGB LEDs (0.04 ea)
M1,1,1027 ERM motor,n/a,C1027,Through-hole,n/a,0.30,Vibration motor (AliExpress)
Q1,1,2N7002,C8545,2N7002,SOT-23,Basic,0.02,Motor MOSFET
SW1,1,Tactile 6x6,C318884,K2-1187SP,SMD,Basic,0.04,Wake button
C1-C8,8,100nF 0603,C14663,CC0603KRX7R9BB104,0603,Basic,0.008,Decoupling
C9,1,10uF 0805,C15850,CL21A106KAQNNNE,0805,Basic,0.02,Bulk
R1-R4,4,10K 0603,C25804,0603WAF1002T5E,0603,Basic,0.004,I2C/strap pulls
R5,1,470 0603,C23179,0603WAF4700T5E,0603,Basic,0.001,LED data line
BAT1,1,LiPo 150mAh,n/a,n/a,n/a,n/a,2.20,150mAh wearable LiPo
PCB,1,2-layer 50x40mm,JLCPCB,JLCPCB,2-layer,n/a,0.50,JLCPCB 100-board panel
,,,,,,,,
TOTAL,,,,,,,$6.81,Per board incl. battery; MCU-only delta vs. dev-kit baseline: -$3.50
