Designator,Qty,Value,LCSC_Part_No,Manufacturer_PN,Package,JLCPCB_Lib,Unit_Cost_100qty,Notes
U1,1,ESP32-C3-MINI-1-N4,C2902509,ESP32-C3-MINI-1-N4,SMD-Module,Extended,1.45,
U2,1,INMP441,C2884796,INMP441,LGA-6,n/a,1.20,
LED1-LED70,70,WS2812B,C114586,WS2812B,SMD,Basic,2.80,
U3,1,AMS1117-3.3,C6186,AMS1117-3.3,SOT-223,Basic,0.04,
J1,1,USB-C,C2765186,TYPE-C-31-M-12,SMD,Basic,0.10,
C9,1,470uF,C13585,n/a,SMD,Basic,0.08,
C/R passives,1,assorted,n/a,n/a,0603,Basic,0.05,
PCB,1,2-layer,JLCPCB,JLCPCB,2-layer,n/a,0.50,
,,,,,,,,
TOTAL,,,,,,,$6.22,
