Designator,Qty,Value,LCSC_Part_No,Manufacturer_PN,Package,JLCPCB_Lib,Unit_Cost_100qty,Notes
U1,1,ESP32-C3-MINI-1-N4,C2902509,ESP32-C3-MINI-1-N4,SMD-Module,Extended,1.45,Main MCU
U2,1,INMP441,C2884796,INMP441,LGA-6,n/a,1.20,I2S MEMS mic
U3,1,AMS1117-3.3,C6186,AMS1117-3.3,SOT-223,Basic,0.04,LDO
J1,1,USB-C 6P,C2765186,TYPE-C-31-M-12,SMD,Basic,0.10,
U4,1,CH340N,C84681,CH340N,SOP-8,Basic,0.50,USB-UART
LED1-LED9,9,3mm LED,C72041,n/a,0805,Basic,0.018,Status LEDs
SW1-SW2,2,Tactile 6x6,C318884,K2-1187SP,SMD,Basic,0.08,Set/mode
C1-C8,8,100nF 0603,C14663,CC0603KRX7R9BB104,0603,Basic,0.008,Decouple
C9,1,10uF 0805,C15850,CL21A106KAQNNNE,0805,Basic,0.02,Bulk
R1-R12,12,Various,C25804,0603WAF1002T5E,0603,Basic,0.012,Pulls/LED resistors
PCB,1,2-layer,JLCPCB,JLCPCB,2-layer,n/a,0.40,80x40mm
,,,,,,,,
TOTAL,,,,,,,$3.84,
