Designator,Qty,Value,LCSC_Part_No,Manufacturer_PN,Package,JLCPCB_Lib,Unit_Cost_100qty,Notes
U1,1,ESP32-C3-MINI-1-N4,C2902509,ESP32-C3-MINI-1-N4,SMD-Module,Extended,1.45,
U2,1,DRV2605L,C82584,DRV2605L,WLP-9,Extended,1.45,Haptic driver
LED1-LED8,8,WS2812B-2020,C114586,WS2812B-2020,SMD,Basic,0.32,Alert ring
U3,1,AMS1117-3.3,C6186,AMS1117-3.3,SOT-223,Basic,0.04,
J1,1,USB-C,C2765186,TYPE-C-31-M-12,SMD,Basic,0.10,
M1,1,ERM motor,n/a,1027,Through-hole,n/a,0.30,
C/R passives,1,assorted,n/a,n/a,0603,Basic,0.05,
PCB,1,2-layer,JLCPCB,JLCPCB,2-layer,n/a,0.40,
,,,,,,,,
TOTAL,,,,,,,$4.11,
