Designator,Qty,Value,LCSC_Part_No,Manufacturer_PN,Package,JLCPCB_Lib,Unit_Cost_100qty,Notes
BOARD,1,ESP32-2432S028R complete,n/a,2432S028R,Module,n/a,8.00,Off-the-shelf option
,,,,,,,,
TOTAL_PROTOTYPE,,,,,,,$8.00,Keep stock board
,,,,,,,,
ALT_U1,1,ESP32-C3-MINI-1-N4,C2902509,ESP32-C3-MINI-1-N4,SMD-Module,Extended,1.45,Custom-PCB alternative
ALT_DISP,1,ILI9341 2.8" 320x240,n/a,ILI9341,Module,n/a,4.50,
ALT_TOUCH,1,XPT2046,C58009,XPT2046,SSOP-16,Extended,0.55,Resistive touch
ALT_U2,1,AMS1117-3.3,C6186,AMS1117-3.3,SOT-223,Basic,0.04,
ALT_J1,1,USB-C,C2765186,TYPE-C-31-M-12,SMD,Basic,0.10,
ALT_passives,1,assorted,n/a,n/a,0603,Basic,0.10,
ALT_PCB,1,2-layer,JLCPCB,JLCPCB,2-layer,n/a,0.50,
,,,,,,,,
TOTAL_CUSTOM,,,,,,,$7.24,
