Designator,Qty,Value,LCSC_Part_No,Manufacturer_PN,Package,JLCPCB_Lib,Unit_Cost_100qty,Notes
U1,1,ESP32-C6-WROOM-1-N8,C5736265,ESP32-C6-WROOM-1-N8,SMD-Module,Extended,1.95,Main MCU
DISP1,1,SSD1306 OLED 0.96",n/a,SSD1306,Module,n/a,1.50,External I2C OLED
US1,1,HC-SR04,n/a,HC-SR04,Module,n/a,0.80,Ultrasonic
LED1,1,WS2812B,C114586,WS2812B,SMD,Basic,0.04,Status NeoPixel
U2,1,AMS1117-3.3,C6186,AMS1117-3.3,SOT-223,Basic,0.04,
J1,1,USB-C 6P,C2765186,TYPE-C-31-M-12,SMD,Basic,0.10,
C1-C8,8,100nF 0603,C14663,CC0603KRX7R9BB104,0603,Basic,0.008,
R1-R4,4,10K 0603,C25804,0603WAF1002T5E,0603,Basic,0.004,
PCB,1,2-layer,JLCPCB,JLCPCB,2-layer,n/a,0.40,
,,,,,,,,
TOTAL,,,,,,,$4.84,
