Designator,Qty,Value,LCSC_Part_No,Manufacturer_PN,Package,JLCPCB_Lib,Unit_Cost_100qty,Notes
U1,1,ESP32-C3-MINI-1-N4,C2902509,ESP32-C3-MINI-1-N4,SMD-Module,Extended,1.45,
Q1,1,2N7002,C8545,2N7002,SOT-23,Basic,0.02,Motor MOSFET
D1,1,1N4148,C81598,1N4148WS,SOD-323,Basic,0.01,Flyback
M1,1,ERM 10mm,n/a,1027,Through-hole,n/a,0.30,
U2,1,AMS1117-3.3,C6186,AMS1117-3.3,SOT-223,Basic,0.04,
J1,1,USB-C,C2765186,TYPE-C-31-M-12,SMD,Basic,0.10,
C/R passives,1,assorted,n/a,n/a,0603,Basic,0.05,
PCB,1,2-layer,JLCPCB,JLCPCB,2-layer,n/a,0.30,
,,,,,,,,
TOTAL,,,,,,,$2.27,
