Designator,Qty,Value,LCSC_Part_No,Manufacturer_PN,Package,JLCPCB_Lib,Unit_Cost_100qty,Notes
U1,1,ESP32-C3-MINI-1-N4,C2902509,ESP32-C3-MINI-1-N4,SMD-Module,Extended,1.45,Main MCU
M1,1,LD2410,n/a,LD2410C,Module,n/a,3.50,24 GHz radar (AliExpress)
DISP1,1,SSD1306 OLED,n/a,SSD1306,Module,n/a,1.50,
US1,1,HC-SR04,n/a,HC-SR04,Module,n/a,0.80,
U2,1,AMS1117-3.3,C6186,AMS1117-3.3,SOT-223,Basic,0.04,
J1,1,USB-C 6P,C2765186,TYPE-C-31-M-12,SMD,Basic,0.10,
C1-C8,8,100nF 0603,C14663,CC0603KRX7R9BB104,0603,Basic,0.008,
R1-R4,4,10K 0603,C25804,0603WAF1002T5E,0603,Basic,0.004,
PCB,1,2-layer,JLCPCB,JLCPCB,2-layer,n/a,0.40,
,,,,,,,,
TOTAL,,,,,,,$7.84,
