Designator,Qty,Value,LCSC_Part_No,Manufacturer_PN,Package,JLCPCB_Lib,Unit_Cost_100qty,Notes
U1,1,RP2040,C2040,RP2040,QFN-56,Basic,0.80,
U2,1,W25Q16JV,C5290819,W25Q16JVSSIQ,SOIC-8,Basic,0.27,
U3,1,INMP441,C2884796,INMP441,LGA-6,n/a,1.20,
U4,1,RT9013,C47773,RT9013-33GB,SOT-23-5,Basic,0.05,
Y1,1,12 MHz xtal,C115962,n/a,SMD-3225,Basic,0.10,
J1,1,USB-C,C2765186,TYPE-C-31-M-12,SMD,Basic,0.10,
C/R passives,1,assorted,n/a,n/a,0603,Basic,0.05,
PCB,1,2-layer,JLCPCB,JLCPCB,2-layer,n/a,0.40,
,,,,,,,,
TOTAL,,,,,,,$2.97,
