Designator,Qty,Value,LCSC_Part_No,Manufacturer_PN,Package,JLCPCB_Lib,Unit_Cost_100qty,Notes
U1,1,ESP32-C3-MINI-1-N4,C2902509,ESP32-C3-MINI-1-N4,SMD-Module,Extended,1.45,
U2,1,BNO055,C84398,BNO055,LGA-28,Extended,8.50,9-DOF fusion IMU
U3,1,INMP441,C2884796,INMP441,LGA-6,n/a,1.20,
LED1-LED21,21,WS2812B-2020,C114586,WS2812B-2020,SMD,Basic,0.84,
M1-M2,2,ERM motor,n/a,1027,Through-hole,n/a,0.60,
Q1-Q2,2,2N7002,C8545,2N7002,SOT-23,Basic,0.04,
U4,1,TP4056,C16581,TP4056,SOP-8,Extended,0.18,
U5,1,AMS1117-3.3,C6186,AMS1117-3.3,SOT-223,Basic,0.04,
J1,1,USB-C,C2765186,TYPE-C-31-M-12,SMD,Basic,0.10,
BATT,1,LiPo 250mAh,n/a,n/a,n/a,n/a,2.50,
PCB,1,2-layer,JLCPCB,JLCPCB,2-layer,n/a,0.50,
,,,,,,,,
TOTAL,,,,,,,$15.95,
