Designator,Qty,Value,LCSC_Part_No,Manufacturer_PN,Package,JLCPCB_Lib,Unit_Cost_100qty,Notes
U1,1,ESP32-C3-MINI-1-N4,C2902509,ESP32-C3-MINI-1-N4,SMD-Module,Extended,1.45,
U2,1,DRV8833,C50506,DRV8833PWPR,HTSSOP-16,Extended,1.20,Dual H-bridge
U3,1,INMP441,C2884796,INMP441,LGA-6,n/a,1.20,
DISP1,1,SSD1306 OLED,n/a,SSD1306,Module,n/a,1.50,
LED1-LED10,10,WS2812B-2020,C114586,WS2812B-2020,SMD,Basic,0.40,
U4,1,AMS1117-3.3,C6186,AMS1117-3.3,SOT-223,Basic,0.04,
J1,1,USB-C 6P,C2765186,TYPE-C-31-M-12,SMD,Basic,0.10,
C1-C10,10,100nF 0603,C14663,CC0603KRX7R9BB104,0603,Basic,0.01,
C11,1,100uF 1206,C158025,n/a,1206,Basic,0.05,Motor bulk
R1-R6,6,Various,C25804,0603WAF1002T5E,0603,Basic,0.006,
M1-M2,2,TT motor,n/a,n/a,n/a,n/a,2.40,External
PCB,1,2-layer,JLCPCB,JLCPCB,2-layer,n/a,0.50,
,,,,,,,,
TOTAL,,,,,,,$8.91,
