Designator,Qty,Value,LCSC_Part_No,Manufacturer_PN,Package,JLCPCB_Lib,Unit_Cost_100qty,Notes
U1,1,ESP32-C3-MINI-1-N4,C2902509,ESP32-C3-MINI-1-N4,SMD-Module,Extended,1.45,Main MCU
DISP1,1,ST7789 1.9" 170x320,n/a,ST7789V2-1.9,Module,n/a,3.80,TFT (AliExpress)
U2,1,AMS1117-3.3,C6186,AMS1117-3.3,SOT-223,Basic,0.04,
J1,1,USB-C 6P,C2765186,TYPE-C-31-M-12,SMD,Basic,0.10,
U3,1,CH340N,C84681,CH340N,SOP-8,Basic,0.50,
SW1-SW2,2,Tactile 6x6,C318884,K2-1187SP,SMD,Basic,0.08,
C1-C8,8,100nF 0603,C14663,CC0603KRX7R9BB104,0603,Basic,0.008,
C9,1,10uF 0805,C15850,CL21A106KAQNNNE,0805,Basic,0.02,
R1-R6,6,10K 0603,C25804,0603WAF1002T5E,0603,Basic,0.006,
PCB,1,2-layer,JLCPCB,JLCPCB,2-layer,n/a,0.40,
,,,,,,,,
TOTAL,,,,,,,$6.46,
