Designator,Qty,Value,LCSC_Part_No,Manufacturer_PN,Package,JLCPCB_Lib,Unit_Cost_100qty,Notes
U1,1,RP2040,C2040,RP2040,QFN-56,Basic,0.80,
U2,1,W25Q16JV,C5290819,W25Q16JVSSIQ,SOIC-8,Basic,0.27,16Mbit SPI flash
U3,1,DRV8833,C50506,DRV8833PWPR,HTSSOP-16,Extended,1.20,Dual H-bridge
U4,1,RT9013,C47773,RT9013-33GB,SOT-23-5,Basic,0.05,3.3V LDO 500mA
J1,1,USB-C 6P,C2765186,TYPE-C-31-M-12,SMD,Basic,0.10,RP2040 native USB
SW1,1,Tactile (BOOTSEL),C318884,K2-1187SP,SMD,Basic,0.04,
LED1,1,WS2812B,C114586,WS2812B,SMD,Basic,0.04,Status
Y1,1,12 MHz xtal,C115962,n/a,SMD-3225,Basic,0.10,
M1,2,TT motor,n/a,n/a,n/a,n/a,2.40,External
C/R,1,assorted,n/a,n/a,n/a,Basic,0.10,
PCB,1,2-layer,JLCPCB,JLCPCB,2-layer,n/a,0.40,
,,,,,,,,
TOTAL,,,,,,,$5.50,
