Designator,Qty,Value,LCSC_Part_No,Manufacturer_PN,Package,JLCPCB_Lib,Unit_Cost_100qty,Notes
U1,1,ESP32-C3-MINI-1-N4,C2902509,ESP32-C3-MINI-1-N4,SMD-Module,Extended,1.45,
U2,2,DRV8833,C50506,DRV8833PWPR,HTSSOP-16,Extended,2.40,Dual H-bridge ×2 for 4 motors
M1,1,LD2410,n/a,LD2410C,Module,n/a,3.50,
DISP1,1,SSD1306 OLED,n/a,SSD1306,Module,n/a,1.50,
US1,1,HC-SR04,n/a,HC-SR04,Module,n/a,0.80,
U3,1,AMS1117-3.3,C6186,AMS1117-3.3,SOT-223,Basic,0.04,
J1,1,USB-C,C2765186,TYPE-C-31-M-12,SMD,Basic,0.10,
BATT,1,18650 holder + cell,n/a,n/a,n/a,n/a,3.50,
C/R passives,1,assorted,n/a,n/a,n/a,Basic,0.10,
LED1-LED2,2,WS2812B,C114586,WS2812B,SMD,Basic,0.08,Status
PCB,1,2-layer 80x80,JLCPCB,JLCPCB,2-layer,n/a,0.60,
M_drive,4,TT motor + wheel,n/a,n/a,n/a,n/a,4.80,External 4× $1.20
,,,,,,,,
TOTAL,,,,,,,$18.87,
